key,CHANGE_DATE,de,en,ru,tr,ar,fr,fa,nl,pl,it,es,sp - nicht berücksichtigen,pt,uk,ka (georgisch)
ADMINISTRATION_FORM.TYPE.DRM,,Dragees magensaftresistent,Dragees entericcoated,Устойчивые к желудочному соку драже,Mide suyuna dayanıklı drajeler,دراجيس مقاومة لعصير المعدة,Dragées gastro-résistantes ,داروهای روکش شده مقاوم در برابر دستگاه گوارش,Dragees met entherische coating,Drażetki powlekane dojelitowe,Pastiglie gastro-resistenti,Gragea con cubierta entérica,Gragea com cubierta enterica,Drágeas gastroresistentes,Стійкі до шлункового соку драже,კუჭის წვენის მიმართ მედეგი  დრაჟეები
ADMINISTRATION_FORM.TYPE.DSC,,Dosierschaum,Dosing foam,Пена с дозатором,Köpük dozaj,رغوة الجرعات,Dosage de mousse,دوز کف,Doseerschuim,Pianka dozująca,schiuma a dosaggio,Espuma en Aerosol,Espuma con dispensador,Espuma com dispensador,Піна з дозатором,დოზირებული ქაფი
ADMINISTRATION_FORM.TYPE.DSS,,Dosierspray,Dosing spray,Спрей с дозатором,Sprey dozaj,رذاذ الجرعات,Spray doseur ,دوز اسپری,Doseringsspray,Dozowanie sprayu,spray a dosaggio,Aerosol dosificado,Spray con dosificador ,Spray com dosador,Спрей з дозатором,დოზირებული სპრეი/შესაფრქვევი
ADMINISTRATION_FORM.TYPE.EDP,,Einzeldosis-pipetten,Single dose pipettes,Пипетки с разовой дозой,Tek doz pipetler,ماصات جرعة واحدة,Pipettes unidoses,پیپت های تک دوز,Pipetten voor eenmalige doses,Pipety jednodawkowe,Pipette monodose,Dosis única en pipeta/gotero,Pipetas monodosis ,Pipetas de dose única ,Піпетка з разовою дозою,ერთი დოზის შემცველი პიპეტები
ADMINISTRATION_FORM.TYPE.EIN,,Einreibung,Embrocation,Втирания,Yedirme/Ovuşturma,دهن,Friction,مالیدن,Inwrijven,Rub-in,Frizione,Tratamiendo tópico en  ungüento,Fricción,Fricção,Втирання,შეზელვა
ADMINISTRATION_FORM.TYPE.ELE,,Elektroden,Electrodes,Электроды,Elektrotlar,أقطاب كهربائية,Electrodes ,الکترودها,Elektroden,Elektrody,elettrodi,Electrodos,Electrodos ,Eléctrodos ,Електроди,ელექტროდები
ADMINISTRATION_FORM.TYPE.ELI,,Elixier,Elixir,Эликсир,İksir,إكسير,Elixir ,اکسیر,Elixer,Eliksir,elixir,Elixir/ Jarabe,Elixir ,Elixir ,Еліксир,ელექსირი
ADMINISTRATION_FORM.TYPE.EMU,,Emulsion,Emulsion,Эмульсия,Emülsiyon,مستحلب,Emulsion ,امولسیون,Emulsie,Emulsja,emulsione,Emulsión,Emulsión ,Emulsão ,Емульсія,ემულსია
ADMINISTRATION_FORM.TYPE.ESS,,Essenz,Essence,Эссенция,Esans,جوهر,Essence ,اسانس ها,Essentie,Esencja,essenza,Esencia,Esencia ,Essência ,Есенція,ესენცია
ADMINISTRATION_FORM.TYPE.ESU,,Erwachsenen-Suppositorien,Adult suppositories,Свечи для взрослых,Yetişkin fitilleri,تحاميل الكبار,Suppositoires pour adultes,شیاف-بزرگسالان,Zetpillen voor volwassenen,Czopki dla dorosłych,supposte per adulti,Supositorios para Adultos,Supositorios para adultos ,Supositórios para adultos ,Свічки для дорослих,ანალური სანთლები მოზრდილებისთვის
ADMINISTRATION_FORM.TYPE.EXT,,Extrakt,Essence,Экстракт,Esans,استخراج,Extrait ,اسانس ها,Extract,Wyciąg,estratto,Esencia,Esencia ,Essência ,Екстракт,ექსტრაქტი
ADMINISTRATION_FORM.TYPE.FBE,,Filterbeutel,Filter bag,Фильтровальный мешочек,Torba filtre,أكياس الفلتر,Sac filtrant ,کیسه ی صافی,Filterzak,Worek filtracyjny,sacchetto filtrante,Filtros en forma de bolsa,Bolsa filtro ,Saco filtro ,Фільтрувальний мішочок,ფილტრი
ADMINISTRATION_FORM.TYPE.FBW,,Franzbranntwein,Rubbing alcohol,Нашатырный спирт,Sürtünme alkol,مسح بالكحول,Alcool à friction,ماساژ با الکل,Wrijfalcohol,Franzbranntwein,alcool da frizione,Alcohol para frotar,Alcohol para fricciones ,Álcool para esfregar ,Нашатирний спирт,ნიშადურის სპირტი
ADMINISTRATION_FORM.TYPE.FDA,,Filmdragees,Film dragees,Драже в оболочке,Film drajeler,فيلم دراج,Dragées pelliculées ,قرص های روکش دار,Omhulde zuigtabletten,Pastylki powlekane,pastiglie rivestite,Grageas recubiertas,Grageas recubiertas,Drageas revestidas,Драже в оболонці,გარსიანი დრაჟე
ADMINISTRATION_FORM.TYPE.FER,,Fertigspritzen,Pre-filled syringes,Готовые шприцы,Hazir siringa,محاقن جاهزة للإستعمال,Seringues pré-remplis ,سرنگ های از قبل پرشده,Kant-en-klare spuiten,Gotowe do użycia strzykawki,siringhe pronte,Jeringas precargada,Jeringas precargadas ,Seringas pré-cheias ,Готові шприци,მზა შპრიცი
ADMINISTRATION_FORM.TYPE.FET,,Fettsalbe,Fat ointment,Жирная мазь,Yağlı merhem,مرهم دهني,Pommade grasse ,پماد چرب,Vette zalf,Maść tłuszczowa,unguento grasso,Ungüento Grasoso,Pomada de grasa,Pomada gordurosa,Жирна мазь,მალამო
ADMINISTRATION_FORM.TYPE.FLA,,Flasche,Bottle,Бутылочки,Şişe,زجاجة,Bouteille ,بطری,Fles,Butelka,bottiglia,Botellas,Botella ,Garrafa ,Пляшечки,ბოთლი
ADMINISTRATION_FORM.TYPE.FLE,,Flüssigkeit zum Einnehmen,Oral fluid,Жидкость для приема внутрь,Oral sıvı,سائل فموي,Liquide à avaler ,مایع خوراکی,Vloeistof voor inname,Płyn doustny,liquido da ingestione,Solución Oral,Líquido oral ,Líquido oral ,Рідина для прийому в середину,დასალევი სითხე
ADMINISTRATION_FORM.TYPE.FLU,,Flüssig,Liquid,Жидкий,Sıvı,سائل,Liquide  ,مایع ,Vloeistof,Płyn,liquido/-a,Líquido,Líquido ,Líquido ,Рідкий,თხევადი
ADMINISTRATION_FORM.TYPE.FMR,,Filmtabletten magensaftresistent,Film pills entericcoated,Устойчивые к желудочному соку таблетки в оболочке,Mideasidine dayanıklı tabletler,أقراص مغلفة بطبقة رقيقة مقاومة للمعدة,Comprimés pelliculés gastro-résistants ,قرص های روکش دار مقاوم در برابر دستگاه گوارش,Filmomhulde tabletten met enterische coating,"Tabletki powlekane, powlekane enterycznie",compresse gastroresistenti,Comprimidos con película de revestimiento entérico,Comprimidos con película de revestimiento entérico,Comprimidos com filme de revestimento entérico ,Стійкі до шлункового соку таблетки в оболонці,კუჭის წვენის მიმართ მედეგი  შემოგარსული ტაბლეტები
ADMINISTRATION_FORM.TYPE.FOL,,Folie,Foil,Фольга/ Пленка,Folyo,رقائق,Film plastique,فویل,Folie,Film,film plastico,Cubierta,Lámina ,Película,Фольга/Плівка,შესაფუთი პარკი
ADMINISTRATION_FORM.TYPE.FRB,,Beutel mit retardierten Filmtabletten,Bag with retarded film pills,"Пакетик с таблетками с пролонгированным высвобождением, покрытыми оболочкой",Retard film kaplı tablet içeren poşet,كيس من الأقراص المبطنة بطبقة رقيقة,Sachet de comprimés pelliculés à libération prolongée,قرص های روکش دار با ماندگاری آزاد,Sachet met filmomhulde tabletten met verlengde afgifte,Torebka tabletek powlekanych o przedłużonym uwalnianiu,bustina di compresse rivestite con film a rilascio prolungato,Bolsa con Pastillas con cubierta de Liberación prolongada,Bolsa de comprimidos recubiertos con película de liberación prolongada,Embalagem com comprimidos recobertos com filme de liberação lenta ,"Пакетик із таблетками з пролонгованим вивільненням, вкриті оболонкою","გახანგრძლივებული მოქმედების, შემოგარსული ტაბლეტები"
ADMINISTRATION_FORM.TYPE.FSE,,Fluessigseife,Liquid soap,Жидкое мыло,Sıvı sabun,صابون سائل,Savon liquide ,صابون مایع,Vloeibare zeep,Mydło w płynie,sapone liquido,Jabón líquido,Jabón líquido,Sabão líquido,Рідке мило,თხევადი საპონი
ADMINISTRATION_FORM.TYPE.FTA,,Filmtabletten,Film pills,Таблетки в оболочке,Film tablet,أقراص مغلفة,Comprimés pelliculés  ,قرص های روکش دار,Filmomhulde tabletten,Tabletki powlekane,compresse rivestite,Pastilla con cubierta entérica,Pastillas recubiertas,Drágeas revestidas,Таблетки в оболонці,შემოგარსული ტაბლეტები
ADMINISTRATION_FORM.TYPE.GEL,,Gel,Gel,Гель,Jel,هلام,Gel   ,ژل,Gel,Żel,gel,Gel  ,Gel,Gel,Гель,გელი
ADMINISTRATION_FORM.TYPE.GLI,,Gas und Lösungsmittel zur Herstellung von Injektion- oder Infusionsdispersion,Gas and solvent for preparing injection or infusion dispersion,Газ и растворитель для производства инъекций/дисперсных инфузий,Enjeksiyon- ve İnfüzyondispersyonunun üretimi için gaz ve çözücü,غاز ومذيب للتشتت للحقن أو التسريب,Gaz et solvant pour la préparation de dispersions d'injection ou de perfusion,گاز و حلال برای پراکندگی و آماده سازی تزریق,Gas en oplosmiddel voor de bereiding van injectie- of infuusdispersie,Gaz i rozpuszczalnik do przygotowania dyspersji do wstrzykiwań lub infuzji,Gas e solvente per la preparazione di dispersione per iniezione o infusione,Gas y solvente para la preparación de dispersiones para inyección o infusión,Gas y disolvente para preparar inyección o dispersión de infusión,Gás e solvente para preparação de dispersões para injeção ou infusão,Газ та розчинник для виробництва ін'єкцій/дисперсних інфузій,საინექციო ან საინფუზიო ხსნარის გამხსნელი
ADMINISTRATION_FORM.TYPE.GLO,,Globuli,Globuli,Глобули,Kürecikler,الكريات,Granules,گویچه,Korreltjes,Globule,globuli,Glóbulos /Chochos,Glóbulos,Glóbulos,Гранули,ბურთულა
ADMINISTRATION_FORM.TYPE.GMR,,Magensaftresistentes Granulat,Granules entericcoated,Выносливое против желудочного сока вещество в гранулах,Enterik kaplı granüller,حبيبات مقاومة للمعدة,Granulés gastro-résistants  ,ریزدانه های کوچک، روکش دار مقاوم در برابر اسید معده,Maagbestendige korreltjes,Granulki odporne na działanie żołądka,granulato gastroresistente,Medicamento granulado con cubierta enterica,Gránulos con recubrimiento entérico,Grânulos com revestimento entérico,Стійка до шлункового соку речовина в гранулах,კუჭის წვენის მიმართ მედეგი გრანულები
ADMINISTRATION_FORM.TYPE.GPA,,Gelplatte,Gel plate,Пластина с гелем,Jel plaka,صحن جل,Plaque de gel ,صفحه ژل,Gel plaat,Płyta żelowa,piastra da gel,Placa de Gel,Placa de gel,Placa de gel,Пластина з гелем,გელის ფირფიტა
ADMINISTRATION_FORM.TYPE.GRA,,Granulat,Granules,Вещество в гранулах,Granül,حبيبات,Granulés  ,ریز دانه,Granules,Granulki,granulato,Granulado,Gránulos,Grânulos,Речовина в гранулах,გრანულა
ADMINISTRATION_FORM.TYPE.GSE,,Granulat zur Herstellung einer Suspension zum Einnehmen,Granules for preparing a suspension for ingestion,Вещество в гранулах для изготовления суспензии для приема внутрь,Oral süspansiyon için granüller,حبيبات للتعليق الفموي,Granulés pour la préparation d'une suspension à usage oral,ماده ی موجود در ریزدانه ها برای انجام فرایند سوسپانسیون برای تجویز خوراکی,Granules voor de bereiding van een suspensie voor oraal gebruik,Granulki do sporządzania zawiesiny do stosowania doustnego,Granuli per la preparazione di una sospensione per uso orale,Gránulos para la preparación de una suspensión para uso oral,Gránulos para preparar una suspensión para la ingestión,Grânulos para preparar uma suspensão para ingestão,Речовина в гранулах для виготовлення суспензії для вживання всередину,სუსპენზიის მოსამზადებელი გრანულირებული ფხვნილი
ADMINISTRATION_FORM.TYPE.GUL,,Gurgellösung,Gargle solution,Раствор для полоскания горла,Gargara solüsyonu,محلول الغرغرة,Solution pour gargarisme ,محلول غرغره,Gorgeloplossing,Roztwór do płukania jamy ustnej,soluzione per gargarismi,Enjuague bucofaríngeo/ Líquido para hacer Gárgaras,Solución para hacer gárgaras,Solução para gargarejo ,Розчин для полоскання горла,ყელის სავლები სითხე
ADMINISTRATION_FORM.TYPE.HAS,,Handschuhe,Gloves,Перчатки,Eldiven,القفازات,Gants ,دستکش,Handschoenen,Rękawice,guanti,Guantes,Guantes,Luvas,Рукавички,ხელთათმანები
ADMINISTRATION_FORM.TYPE.HKM,,Magensaftresistente Hartkapseln,Hard capsules entericcoated,Устойчивые у желудочному соку твердые капсулы,Enterik kaplı kapsüller,كبسولات صلبة مقاومة للمعدة,Capsules dures gastro-résistantes ,کپسول های مقاوم در برابر مواد اسیدی موجود در معده,Maagsap-resistente capsules,Kapsułki twarde odporne na działanie żołądka,capsule gastroresistenti,Cápsulas duras con recubrimiento entérico,Cápsulas duras con recubrimiento entérico,Cápsulas com revestimento entérico,Стійкі до шлункового соку тверді капсули,კუჭის წვენის მიმართ მედეგი შემოგარსული კაპსულები
ADMINISTRATION_FORM.TYPE.HKP,,Hartkapseln,Hard capsules,Твердые капсулы,Sert jelatin kapsüller,كبسولات صلبة,Capsules dures  ,کپسول های سخت,Harde capsules,Kapsułki twarde,capsule,Cápsulas duras,Cápsulas duras,Cápsulas duras,Тверді капсули,შემოგარსული კაფსულები
